fri_sam_time,fri_sam_id,fri_sam_x,fri_sam_y
24,1438.0-3521.0,41.61121677098903,69.62075291026277
26,1438.0-3521.0,46.41723156220044,77.44131169790211
28,1438.0-3521.0,51.22324635341185,85.26187048554145
28,7046.0-1094.0,40.43472472381781,70.25181429674714
30,1438.0-3521.0,56.02926114462326,93.0824292731808
30,7046.0-1094.0,43.80083782152132,78.79161526267924
32,1438.0-3521.0,60.83527593583467,100.90298806082014
32,7046.0-1094.0,47.16695091922483,87.33141622861133
32,9249.0-2211.0,39.64990731284332,70.50562977988196
34,1438.0-3521.0,65.64129072704608,108.72354684845948
34,7046.0-1094.0,50.53306401692834,95.87121719454342
34,9249.0-2211.0,41.96779335323567,79.38742702075726
36,1438.0-3521.0,70.4473055182575,116.54410563609882
36,7046.0-1094.0,53.899177114631854,104.4110181604755
36,9249.0-2211.0,44.28567939362802,88.26922426163256
36,9093.0-299.0,40.56559096684007,70.22110321578751
38,1438.0-3521.0,75.2533203094689,124.36466442373816
38,7046.0-1094.0,57.265290212335366,112.9508191264076
38,9249.0-2211.0,46.603565434020375,97.15102150250786
38,9093.0-299.0,43.535751014892504,78.90655468437674
40,1438.0-3521.0,80.05933510068031,132.18522321137752
40,7046.0-1094.0,60.63140331003888,121.4906200923397
40,9249.0-2211.0,48.92145147441273,106.03281874338316
40,9093.0-299.0,46.50591106294494,87.59200615296598
40,1843.0-237.0,40.29775948622677,70.2967981852167
42,1438.0-3521.0,84.86534989189173,140.00578199901688
42,7046.0-1094.0,63.99751640774238,130.0304210582718
42,9249.0-2211.0,51.23933751480508,114.91461598425846
42,9093.0-299.0,49.476071110997374,96.27745762155521
42,1843.0-237.0,42.73667840732923,79.14612541504351
44,1438.0-3521.0,89.67136468310314,147.82634078665623
44,7046.0-1094.0,67.36362950544589,138.5702220242039
44,9249.0-2211.0,53.55722355519743,123.79641322513376
44,9093.0-299.0,52.44623115904981,104.96290909014445
44,1843.0-237.0,45.17559732843169,87.99545264487033
46,1438.0-3521.0,94.47737947431455,155.6468995742956
46,7046.0-1094.0,70.72974260314939,147.110022990136
46,9249.0-2211.0,55.875109595589784,132.67821046600906
46,9093.0-299.0,55.416391207102244,113.64836055873369
46,1843.0-237.0,47.614516249534155,96.84477987469714
48,1438.0-3521.0,99.28339426552596,163.46745836193494
48,7046.0-1094.0,74.0958557008529,155.6498239560681
48,9249.0-2211.0,58.192995635982136,141.56000770688436
48,9093.0-299.0,58.38655125515468,122.33381202732292
48,1843.0-237.0,50.05343517063662,105.69410710452395
50,1438.0-3521.0,104.08940905673737,171.2880171495743
50,7046.0-1094.0,77.4619687985564,164.1896249220002
50,9249.0-2211.0,60.51088167637449,150.44180494775966
50,9093.0-299.0,61.35671130320711,131.01926349591216
50,1843.0-237.0,52.49235409173908,114.54343433435076
52,1438.0-3521.0,108.89542384794878,179.10857593721366
52,7046.0-1094.0,80.8280818962599,172.7294258879323
52,9249.0-2211.0,62.82876771676684,159.32360218863496
52,9093.0-299.0,64.32687135125956,139.7047149645014
52,1843.0-237.0,54.931273012841544,123.39276156417758
52,6749.0-2973.0,41.82948940016046,69.79361073698499
54,1438.0-3521.0,113.70143863916019,186.92913472485301
54,7046.0-1094.0,84.19419499396341,181.2692268538644
54,9249.0-2211.0,65.1466537571592,168.20539942951027
54,9093.0-299.0,67.29703139931199,148.39016643309063
54,1843.0-237.0,57.37019193394401,132.2420887940044
54,6749.0-2973.0,45.00990929618661,78.40429289400524
56,1438.0-3521.0,118.5074534303716,194.74969351249237
56,7046.0-1094.0,87.56030809166691,189.8090278197965
56,9249.0-2211.0,67.46453979755155,177.08719667038557
56,9093.0-299.0,70.26719144736443,157.07561790167986
56,1843.0-237.0,59.80911085504647,141.0914160238312
56,6749.0-2973.0,48.190329192212765,87.01497505102549
56,5333.0-217.0,41.15065650063479,69.99696549350818
58,1438.0-3521.0,123.31346822158301,202.57025230013173
58,7046.0-1094.0,90.92642118937042,198.3488287857286
58,9249.0-2211.0,69.7824258379439,185.96899391126087
58,9093.0-299.0,73.23735149541686,165.7610693702691
58,1843.0-237.0,62.24802977614893,149.94074325365798
58,6749.0-2973.0,51.37074908823892,95.62565720804574
58,5333.0-217.0,43.3888338507986,78.89918319886002
60,1438.0-3521.0,128.1194830127944,210.39081108777108
60,7046.0-1094.0,94.29253428707392,206.88862975166072
60,9249.0-2211.0,72.10031187833626,194.85079115213617
60,9093.0-299.0,76.2075115434693,174.44652083885833
60,1843.0-237.0,64.6869486972514,158.79007048348478
60,6749.0-2973.0,54.55116898426507,104.23633936506599
60,5333.0-217.0,45.62701120096241,87.80140090421185
60,5614.0-1648.0,42.59779337994397,69.52416565724862
62,1438.0-3521.0,132.9254978040058,218.21136987541044
62,7046.0-1094.0,97.65864738477744,215.42843071759282
62,9249.0-2211.0,74.41819791872861,203.73258839301147
62,9093.0-299.0,79.17767159152173,183.13197230744757
62,1843.0-237.0,67.12586761835387,167.63939771331158
62,6749.0-2973.0,57.73158888029122,112.84702152208624
62,5333.0-217.0,47.86518855112622,96.70361860956368
62,5614.0-1648.0,46.0196979630803,78.04176431814926
64,1438.0-3521.0,137.73151259521723,226.0319286630498
64,7046.0-1094.0,101.02476048248096,223.96823168352492
64,9249.0-2211.0,76.73608395912096,212.61438563388677
64,9093.0-299.0,82.14783163957416,191.8174237760368
64,1843.0-237.0,69.56478653945632,176.48872494313838
