foe_ssm_time,foe_ssm_id,foe_ssm_x,foe_ssm_y
12,997.0-3673.0,346.0740697047714,48.17225027619998
12,1498.0-2387.0,347.04625955629444,48.32707305338495
12,6573.0-1247.0,345.535195081454,49.92692932531494
14,997.0-3673.0,343.14008319241833,48.03140873128033
14,1498.0-2387.0,344.11904032110084,48.08314530884266
14,6573.0-1247.0,342.5983892153829,49.869618763851236
16,997.0-3673.0,340.2060966800653,47.89056718636068
16,1498.0-2387.0,341.19182108590724,47.83921756430037
16,6573.0-1247.0,339.6615833493118,49.812308202387534
16,165.0-2407.0,346.07617889394584,47.855846616559184
16,8489.0-701.0,347.03667906282834,48.235598813525314
16,9931.0-155.0,345.5544952045249,49.365473201548
18,997.0-3673.0,337.27211016771224,47.749725641441024
18,1498.0-2387.0,338.26460185071363,47.59528981975808
18,6573.0-1247.0,336.7247774832407,49.75499764092383
18,165.0-2407.0,343.14430157076725,47.676379189776505
18,8489.0-701.0,344.09987933416863,48.17797460690116
18,9931.0-155.0,342.63698946152476,49.02448429409513
20,997.0-3673.0,334.3381236553592,47.60888409652137
20,1498.0-2387.0,335.33738261552,47.35136207521579
20,6573.0-1247.0,333.7879716171696,49.69768707946013
20,165.0-2407.0,340.2124242475887,47.496911762993825
20,8489.0-701.0,341.1630796055089,48.120350400277005
20,9931.0-155.0,339.7194837185246,48.683495386642264
22,997.0-3673.0,331.40413714300615,47.46804255160172
22,1498.0-2387.0,332.4101633803264,47.1074343306735
22,6573.0-1247.0,330.8511657510985,49.64037651799643
22,165.0-2407.0,337.2805469244101,47.317444336211146
22,8489.0-701.0,338.2262798768492,48.06272619365285
22,9931.0-155.0,336.80197797552444,48.342506479189396
24,997.0-3673.0,328.4701506306531,47.32720100668207
24,1498.0-2387.0,329.4829441451328,46.86350658613121
24,6573.0-1247.0,327.9143598850274,49.58306595653273
24,165.0-2407.0,334.3486696012315,47.13797690942847
24,8489.0-701.0,335.2894801481895,48.005101987028695
24,9931.0-155.0,333.8844722325243,48.00151757173653
26,997.0-3673.0,325.53616411830006,47.186359461762414
26,1498.0-2387.0,326.5557249099392,46.61957884158892
26,6573.0-1247.0,324.9775540189563,49.52575539506903
26,165.0-2407.0,331.4167922780529,46.95850948264579
26,8489.0-701.0,332.3526804195298,47.94747778040454
26,9931.0-155.0,330.9669664895241,47.66052866428366
28,997.0-3673.0,322.602177605947,47.04551791684276
28,1498.0-2387.0,323.6285056747456,46.37565109704663
28,6573.0-1247.0,322.0407481528852,49.468444833605325
28,165.0-2407.0,328.48491495487434,46.77904205586311
28,8489.0-701.0,329.4158806908701,47.889853573780385
28,9931.0-155.0,328.04946074652395,47.31953975683079
30,997.0-3673.0,319.668191093594,46.90467637192311
30,1498.0-2387.0,320.701286439552,46.13172335250434
30,6573.0-1247.0,319.1039422868141,49.411134272141624
30,165.0-2407.0,325.55303763169576,46.59957462908043
30,8489.0-701.0,326.4790809622104,47.83222936715623
30,9931.0-155.0,325.1319550035238,46.978550849377925
32,997.0-3673.0,316.73420458124093,46.76383482700346
32,1498.0-2387.0,317.7740672043584,45.88779560796205
32,6573.0-1247.0,316.167136420743,49.35382371067792
32,165.0-2407.0,322.6211603085172,46.42010720229775
32,8489.0-701.0,323.5422812335507,47.774605160532076
32,9931.0-155.0,322.2144492605236,46.63756194192506
34,997.0-3673.0,313.8002180688879,46.622993282083804
34,1498.0-2387.0,314.8468479691648,45.64386786341976
34,6573.0-1247.0,313.2303305546719,49.29651314921422
34,165.0-2407.0,319.6892829853386,46.24063977551507
34,8489.0-701.0,320.605481504891,47.71698095390792
34,9931.0-155.0,319.29694351752346,46.29657303447219
36,997.0-3673.0,310.86623155653484,46.48215173716415
36,1498.0-2387.0,311.9196287339712,45.39994011887747
36,6573.0-1247.0,310.2935246886008,49.23920258775052
36,165.0-2407.0,316.75740566216,46.06117234873239
36,8489.0-701.0,317.66868177623127,47.659356747283766
36,9931.0-155.0,316.3794377745233,45.95558412701932
38,997.0-3673.0,307.9322450441818,46.3413101922445
38,1498.0-2387.0,308.9924094987776,45.15601237433518
38,6573.0-1247.0,307.35671882252973,49.18189202628682
38,165.0-2407.0,313.8255283389814,45.88170492194971
38,8489.0-701.0,314.73188204757156,47.60173254065961
38,9931.0-155.0,313.46193203152313,45.61459521956645
40,997.0-3673.0,304.99825853182875,46.20046864732485
40,1498.0-2387.0,306.065190263584,44.912084629792886
40,6573.0-1247.0,304.41991295645863,49.124581464823116
40,165.0-2407.0,310.89365101580285,45.70223749516703
40,8489.0-701.0,311.79508231891185,47.54410833403546
40,9931.0-155.0,310.54442628852297,45.273606312113586
42,997.0-3673.0,302.0642720194757,46.059627102405194
42,1498.0-2387.0,303.1379710283904,44.668156885250596
42,6573.0-1247.0,301.48310709038753,49.067270903359415
42,165.0-2407.0,307.96177369262426,45.52277006838435
42,8489.0-701.0,308.85828259025214,47.4864841274113
42,9931.0-155.0,307.6269205455228,44.93261740466072
44,997.0-3673.0,299.13028550712266,45.91878555748554
44,1498.0-2387.0,300.2107517931968,44.424229140708306
44,6573.0-1247.0,298.54630122431644,49.00996034189571
44,165.0-2407.0,305.0298963694457,45.34330264160167
44,8489.0-701.0,305.92148286159244,47.42885992078715
44,9931.0-155.0,304.70941480252264,44.59162849720785
46,997.0-3673.0,296.1962989947696,45.77794401256589
46,1498.0-2387.0,297.2835325580032,44.180301396166016
46,6573.0-1247.0,295.60949535824534,48.95264978043201
46,165.0-2407.0,302.0980190462671,45.16383521481899
46,8489.0-701.0,302.98468313293273,47.37123571416299
46,9931.0-155.0,301.7919090595225,44.25063958975498
48,997.0-3673.0,293.2623124824166,45.63710246764624
48,1498.0-2387.0,294.35631332280957,43.936373651623725
48,6573.0-1247.0,292.67268949217424,48.89533921896831
48,165.0-2407.0,299.1661417230885,44.9843677880363
48,8489.0-701.0,300.047883404273,47.31361150753884
48,9931.0-155.0,298.8744033165223,43.909650682302114
50,997.0-3673.0,290.32832597006353,45.496260922726584
50,1498.0-2387.0,291.42909408761597,43.692445907081435
50,6573.0-1247.0,289.73588362610315,48.83802865750461
50,165.0-2407.0,296.23426439990993,44.80490036125362
50,8489.0-701.0,297.1110836756133,47.25598730091468
50,9931.0-155.0,295.95689757352216,43.56866177484925
52,997.0-3673.0,287.3943394577105,45.35541937780693
52,1498.0-2387.0,288.50187485242236,43.448518162539145
52,6573.0-1247.0,286.79907776003205,48.78071809604091
