fri_decoy_time,fri_id,fri_decoy_x,fri_decoy_y
22,blue,61.52777408797844,49.9914095417799
22,blue,61.5274677050483,49.921251295606346
22,blue,61.52742613327609,49.916138409392396
22,blue,61.527721631824676,49.966490062533786
22,blue,61.527460343603835,49.92032200608846
22,blue,61.527583868778095,49.93772526682316
24,blue,61.52777408797844,49.9914095417799
24,blue,61.5274677050483,49.921251295606346
24,blue,61.52742613327609,49.916138409392396
24,blue,61.527721631824676,49.966490062533786
24,blue,61.527460343603835,49.92032200608846
24,blue,61.527583868778095,49.93772526682316
26,blue,61.52777408797844,49.9914095417799
26,blue,61.5274677050483,49.921251295606346
26,blue,61.52742613327609,49.916138409392396
26,blue,61.527721631824676,49.966490062533786
26,blue,61.527460343603835,49.92032200608846
26,blue,61.527583868778095,49.93772526682316
28,blue,61.52777408797844,49.9914095417799
28,blue,61.5274677050483,49.921251295606346
28,blue,61.52742613327609,49.916138409392396
28,blue,61.527721631824676,49.966490062533786
28,blue,61.527460343603835,49.92032200608846
28,blue,61.527583868778095,49.93772526682316
30,blue,61.52777408797844,49.9914095417799
30,blue,61.5274677050483,49.921251295606346
30,blue,61.52742613327609,49.916138409392396
30,blue,61.527721631824676,49.966490062533786
30,blue,61.527460343603835,49.92032200608846
30,blue,61.527583868778095,49.93772526682316
32,blue,61.52777408797844,49.9914095417799
32,blue,61.5274677050483,49.921251295606346
32,blue,61.52742613327609,49.916138409392396
32,blue,61.527721631824676,49.966490062533786
32,blue,61.527460343603835,49.92032200608846
32,blue,61.527583868778095,49.93772526682316
34,blue,61.52777408797844,49.9914095417799
34,blue,61.5274677050483,49.921251295606346
34,blue,61.52742613327609,49.916138409392396
34,blue,61.527721631824676,49.966490062533786
34,blue,61.527460343603835,49.92032200608846
34,blue,61.527583868778095,49.93772526682316
36,blue,61.52777408797844,49.9914095417799
36,blue,61.5274677050483,49.921251295606346
36,blue,61.52742613327609,49.916138409392396
36,blue,61.527721631824676,49.966490062533786
36,blue,61.527460343603835,49.92032200608846
36,blue,61.527583868778095,49.93772526682316
38,blue,61.52777408797844,49.9914095417799
38,blue,61.5274677050483,49.921251295606346
38,blue,61.52742613327609,49.916138409392396
38,blue,61.527721631824676,49.966490062533786
38,blue,61.527460343603835,49.92032200608846
38,blue,61.527583868778095,49.93772526682316
40,blue,61.52777408797844,49.9914095417799
40,blue,61.5274677050483,49.921251295606346
40,blue,61.52742613327609,49.916138409392396
40,blue,61.527721631824676,49.966490062533786
40,blue,61.527460343603835,49.92032200608846
40,blue,61.527583868778095,49.93772526682316
42,blue,62.91661497598947,49.96784707057375
42,blue,62.91563765649499,49.85654567078574
42,blue,62.91487803119633,49.81087170970867
42,blue,62.915250449554215,49.831707586098446
42,blue,62.91542116256489,49.84217563320655
42,blue,62.91624715264079,49.90840248625587
44,blue,62.91661497598947,49.96784707057375
44,blue,62.91563765649499,49.85654567078574
44,blue,62.91487803119633,49.81087170970867
44,blue,62.915250449554215,49.831707586098446
44,blue,62.91542116256489,49.84217563320655
44,blue,62.91624715264079,49.90840248625587
46,blue,62.91661497598947,49.96784707057375
46,blue,62.91563765649499,49.85654567078574
46,blue,62.91487803119633,49.81087170970867
46,blue,62.915250449554215,49.831707586098446
46,blue,62.91542116256489,49.84217563320655
46,blue,62.91624715264079,49.90840248625587
48,blue,62.91661497598947,49.96784707057375
48,blue,62.91563765649499,49.85654567078574
48,blue,62.91487803119633,49.81087170970867
48,blue,62.915250449554215,49.831707586098446
48,blue,62.91542116256489,49.84217563320655
48,blue,62.91624715264079,49.90840248625587
50,blue,62.91661497598947,49.96784707057375
50,blue,62.91563765649499,49.85654567078574
50,blue,62.91487803119633,49.81087170970867
50,blue,62.915250449554215,49.831707586098446
50,blue,62.91542116256489,49.84217563320655
50,blue,62.91624715264079,49.90840248625587
52,blue,62.91661497598947,49.96784707057375
52,blue,62.91563765649499,49.85654567078574
52,blue,62.91487803119633,49.81087170970867
52,blue,62.915250449554215,49.831707586098446
52,blue,62.91542116256489,49.84217563320655
52,blue,62.91624715264079,49.90840248625587
54,blue,62.91661497598947,49.96784707057375
54,blue,62.91563765649499,49.85654567078574
54,blue,62.91487803119633,49.81087170970867
54,blue,62.915250449554215,49.831707586098446
54,blue,62.91542116256489,49.84217563320655
54,blue,62.91624715264079,49.90840248625587
56,blue,62.91661497598947,49.96784707057375
56,blue,62.91563765649499,49.85654567078574
56,blue,62.91487803119633,49.81087170970867
56,blue,62.915250449554215,49.831707586098446
56,blue,62.91542116256489,49.84217563320655
