fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
16,8192.0-286.0,37.48994663552857,64.65241556698092
18,8192.0-286.0,38.701510583952846,67.32827542772165
20,8192.0-286.0,39.913074532377124,70.00413528846238
22,8192.0-286.0,41.1246384808014,72.67999514920311
24,8192.0-286.0,42.33620242922568,75.35585500994384
24,6694.0-3836.0,37.882336384208976,64.53293901928596
26,8192.0-286.0,43.54776637764996,78.03171487068457
26,6694.0-3836.0,38.959470788640324,67.2656839159485
28,8192.0-286.0,44.759330326074235,80.7075747314253
28,6694.0-3836.0,40.03660519307167,69.99842881261104
30,8192.0-286.0,45.97089427449851,83.38343459216603
30,6694.0-3836.0,41.11373959750302,72.73117370927358
32,8192.0-286.0,47.18245822292279,86.05929445290676
32,6694.0-3836.0,42.19087400193437,75.46391860593612
34,8192.0-286.0,48.39402217134707,88.73515431364748
34,6694.0-3836.0,43.268008406365716,78.19666350259865
36,8192.0-286.0,49.605586119771345,91.41101417438821
36,6694.0-3836.0,44.345142810797064,80.92940839926119
38,8192.0-286.0,50.81715006819562,94.08687403512894
38,6694.0-3836.0,45.42227721522841,83.66215329592373
40,8192.0-286.0,52.0287140166199,96.76273389586967
40,6694.0-3836.0,46.49941161965976,86.39489819258627
42,8192.0-286.0,53.24027796504418,99.4385937566104
42,6694.0-3836.0,47.57654602409111,89.1276430892488
44,8192.0-286.0,54.451841913468456,102.11445361735113
44,6694.0-3836.0,48.653680428522456,91.86038798591134
46,8192.0-286.0,55.663405861892734,104.79031347809186
46,6694.0-3836.0,49.730814832953804,94.59313288257388
48,8192.0-286.0,56.87496981031701,107.46617333883259
48,6694.0-3836.0,50.80794923738515,97.32587777923642
50,8192.0-286.0,58.08653375874129,110.14203319957332
50,6694.0-3836.0,51.8850836418165,100.05862267589896
52,8192.0-286.0,59.29809770716557,112.81789306031405
52,6694.0-3836.0,52.96221804624785,102.7913675725615
54,8192.0-286.0,60.509661655589845,115.49375292105478
54,6694.0-3836.0,54.039352450679196,105.52411246922404
56,8192.0-286.0,61.72122560401412,118.16961278179551
56,6694.0-3836.0,55.116486855110544,108.25685736588657
58,8192.0-286.0,62.9327895524384,120.84547264253624
58,6694.0-3836.0,56.19362125954189,110.98960226254911
60,8192.0-286.0,64.14435350086268,123.52133250327697
60,6694.0-3836.0,57.27075566397324,113.72234715921165
62,8192.0-286.0,65.35591744928695,126.1971923640177
62,6694.0-3836.0,58.34789006840459,116.45509205587419
64,8192.0-286.0,66.56748139771122,128.87305222475842
64,6694.0-3836.0,59.425024472835936,119.18783695253673
66,8192.0-286.0,67.77904534613549,131.54891208549915
66,6694.0-3836.0,60.502158877267284,121.92058184919927
68,8192.0-286.0,68.99060929455976,134.22477194623988
68,6694.0-3836.0,61.57929328169863,124.6533267458618
70,8192.0-286.0,70.20217324298403,136.9006318069806
70,6694.0-3836.0,62.65642768612998,127.38607164252434
72,8192.0-286.0,71.4137371914083,139.57649166772134
72,6694.0-3836.0,63.73356209056133,130.11881653918687
74,8192.0-286.0,72.62530113983257,142.25235152846207
74,6694.0-3836.0,64.81069649499268,132.8515614358494
76,8192.0-286.0,73.83686508825684,144.9282113892028
76,6694.0-3836.0,65.88783089942403,135.58430633251191
78,8192.0-286.0,75.04842903668111,147.60407124994353
78,6694.0-3836.0,66.96496530385538,138.31705122917444
80,8192.0-286.0,76.25999298510538,150.27993111068426
80,6694.0-3836.0,68.04209970828673,141.04979612583696
82,8192.0-286.0,77.47155693352965,152.955790971425
82,6694.0-3836.0,69.11923411271808,143.7825410224995
84,8192.0-286.0,78.68312088195393,155.63165083216572
84,6694.0-3836.0,70.19636851714942,146.515285919162
86,8192.0-286.0,79.8946848303782,158.30751069290645
86,6694.0-3836.0,71.27350292158077,149.24803081582454
88,8192.0-286.0,81.10624877880247,160.98337055364718
88,6694.0-3836.0,72.35063732601212,151.98077571248706
90,8192.0-286.0,82.31781272722674,163.6592304143879
90,6694.0-3836.0,73.42777173044347,154.71352060914958
92,8192.0-286.0,83.52937667565101,166.33509027512864
92,6694.0-3836.0,74.50490613487482,157.4462655058121
94,8192.0-286.0,84.74094062407528,169.01095013586936
94,6694.0-3836.0,75.58204053930616,160.17901040247463
96,8192.0-286.0,85.95250457249955,171.6868099966101
96,6694.0-3836.0,76.65917494373751,162.91175529913716
98,8192.0-286.0,87.16406852092382,174.36266985735082
98,6694.0-3836.0,77.73630934816886,165.64450019579968
100,8192.0-286.0,88.37563246934809,177.03852971809155
100,6694.0-3836.0,78.81344375260021,168.3772450924622
102,8192.0-286.0,89.58719641777236,179.71438957883228
102,6694.0-3836.0,79.89057815703156,171.10998998912473
104,8192.0-286.0,90.79876036619663,182.390249439573
104,6694.0-3836.0,80.9677125614629,173.84273488578725
106,8192.0-286.0,92.0103243146209,185.06610930031374
106,6694.0-3836.0,82.04484696589425,176.57547978244978
108,8192.0-286.0,93.22188826304517,187.74196916105447
108,6694.0-3836.0,83.1219813703256,179.3082246791123
110,6694.0-3836.0,84.19911577475695,182.04096957577482
112,6694.0-3836.0,85.2762501791883,184.77371447243735
114,6694.0-3836.0,86.35338458361964,187.50645936909987
116,6694.0-3836.0,87.43051898805099,190.2392042657624
118,6694.0-3836.0,88.50765339248234,192.97194916242492
120,6694.0-3836.0,89.58478779691369,195.70469405908744
122,6694.0-3836.0,90.66192220134504,198.43743895574997
124,6694.0-3836.0,91.73905660577638,201.1701838524125
126,6694.0-3836.0,92.81619101020773,203.90292874907502
128,6694.0-3836.0,93.89332541463908,206.63567364573754
130,6694.0-3836.0,94.97045981907043,209.36841854240006
132,6694.0-3836.0,96.04759422350178,212.1011634390626
134,6694.0-3836.0,97.12472862793312,214.8339083357251
136,6694.0-3836.0,98.20186303236447,217.56665323238764
232,7081.0-3984.0,51.44122198845457,59.998122063604995
234,7081.0-3984.0,52.379940387624735,62.78145117862252
236,7081.0-3984.0,53.3186587867949,65.56478029364004
238,7081.0-3984.0,54.25737718596506,68.34810940865756
240,7081.0-3984.0,55.196095585135225,71.13143852367509
242,7081.0-3984.0,56.13481398430539,73.91476763869261
244,7081.0-3984.0,57.07353238347555,76.69809675371013
244,5578.0-4829.0,52.22506344772609,59.73572580229585
246,7081.0-3984.0,58.012250782645715,79.48142586872765
246,5578.0-4829.0,53.15739436715777,62.521201031429385
248,7081.0-3984.0,58.95096918181588,82.26475498374518
248,5578.0-4829.0,54.08972528658945,65.30667626056292
248,1472.0-148.0,52.63087475996458,59.59576015618924
250,7081.0-3984.0,59.88968758098604,85.0480840987627
250,5578.0-4829.0,55.02205620602113,68.09215148969646
250,1472.0-148.0,53.70560734529807,62.329450531024555
252,7081.0-3984.0,60.828405980156205,87.83141321378022
252,5578.0-4829.0,55.954387125452804,70.87762671883
252,1472.0-148.0,54.78033993063156,65.06314090585987
252,5939.0-570.0,52.8921381513596,59.5084221780992
254,7081.0-3984.0,61.76712437932637,90.61474232879775
254,5578.0-4829.0,56.88671804488448,73.66310194796354
254,1472.0-148.0,55.855072515965055,67.79683128069517
254,5939.0-570.0,53.96472448175145,62.24295536665285
256,7081.0-3984.0,62.70584277849653,93.39807144381527
256,5578.0-4829.0,57.81904896431616,76.44857717709708
256,1472.0-148.0,56.92980510129855,70.53052165553048
256,5939.0-570.0,55.0373108121433,64.97748855520649
258,7081.0-3984.0,63.644561177666695,96.18140055883279
258,5578.0-4829.0,58.75137988374784,79.23405240623062
258,1472.0-148.0,58.00453768663204,73.26421203036578
258,5939.0-570.0,56.109897142535154,67.71202174376013
260,7081.0-3984.0,64.58327957683686,98.96472967385031
260,5578.0-4829.0,59.683710803179515,82.01952763536416
260,1472.0-148.0,59.079270271965534,75.99790240520109
260,5939.0-570.0,57.182483472927004,70.44655493231377
262,7081.0-3984.0,65.52199797600703,101.74805878886784
262,5578.0-4829.0,60.61604172261119,84.8050028644977
262,1472.0-148.0,60.15400285729903,78.7315927800364
262,5939.0-570.0,58.255069803318854,73.18108812086741
264,7081.0-3984.0,66.4607163751772,104.53138790388536
264,5578.0-4829.0,61.54837264204287,87.59047809363123
264,1472.0-148.0,61.22873544263252,81.4652831548717
264,5939.0-570.0,59.327656133710704,75.91562130942106
264,9508.0-1629.0,53.51889583422046,59.30248516729486
266,7081.0-3984.0,67.39943477434737,107.31471701890288
266,5578.0-4829.0,62.48070356147455,90.37595332276477
266,1472.0-148.0,62.30346802796601,84.198973529707
266,5939.0-570.0,60.400242464102554,78.6501544979747
266,9508.0-1629.0,54.42801090846316,62.09562372046932
268,7081.0-3984.0,68.33815317351754,110.0980461339204
268,5578.0-4829.0,63.41303448090623,93.16142855189831
268,1472.0-148.0,63.378200613299505,86.93266390454231
268,5939.0-570.0,61.472828794494404,81.38468768652834
268,9508.0-1629.0,55.33712598270586,64.88876227364378
268,1936.0-2289.0,53.959682333442416,59.150203837388126
270,7081.0-3984.0,69.27687157268771,112.88137524893793
270,5578.0-4829.0,64.3453654003379,95.94690378103185
270,1472.0-148.0,64.45293319863299,89.66635427937761
270,5939.0-570.0,62.545415124886254,84.11922087508198
270,9508.0-1629.0,56.246241056948556,67.68190082681824
270,1936.0-2289.0,55.0461742605704,61.87924185246423
272,7081.0-3984.0,70.21558997185788,115.66470436395545
272,5578.0-4829.0,65.27769631976957,98.73237901016539
272,1472.0-148.0,65.52766578396648,92.40004465421292
272,5939.0-570.0,63.618001455278105,86.85375406363562
272,9508.0-1629.0,57.155356131191255,70.4750393799927
272,1936.0-2289.0,56.13266618769839,64.60827986754033
272,9204.0-4395.0,54.220239800147496,59.06315683701889
274,7081.0-3984.0,71.15430837102805,118.44803347897297
274,5578.0-4829.0,66.21002723920125,101.51785423929893
274,1472.0-148.0,66.60239836929998,95.13373502904822
274,5939.0-570.0,64.69058778566996,89.58828725218926
274,9508.0-1629.0,58.064471205433954,73.26817793316715
274,1936.0-2289.0,57.21915811482638,67.33731788261643
274,9204.0-4395.0,55.303879547643895,61.79332864353414
276,7081.0-3984.0,72.09302677019821,121.2313625939905
276,5578.0-4829.0,67.14235815863293,104.30332946843247
276,1472.0-148.0,67.67713095463347,97.86742540388353
276,5939.0-570.0,65.76317411606182,92.3228204407429
276,9508.0-1629.0,58.97358627967665,76.06131648634161
276,1936.0-2289.0,58.305650041954365,70.06635589769253
276,9204.0-4395.0,56.387519295140294,64.5235004500494
276,2526.0-1740.0,54.34643870220227,59.0255209335995
278,7081.0-3984.0,73.03174516936838,124.01469170900802
278,5578.0-4829.0,68.07468907806461,107.088804697566
278,1472.0-148.0,68.75186353996696,100.60111577871884
278,5939.0-570.0,66.83576044645368,95.05735362929654
278,9508.0-1629.0,59.88270135391935,78.85445503951607
278,1936.0-2289.0,59.39214196908235,72.79539391276863
278,9204.0-4395.0,57.47115904263669,67.25367225656466
278,2526.0-1740.0,55.292867705416775,61.80623762850375
280,7081.0-3984.0,73.97046356853855,126.79802082402554
280,5578.0-4829.0,69.00701999749629,109.87427992669954
280,1472.0-148.0,69.82659612530045,103.33480615355414
280,5939.0-570.0,67.90834677684553,97.79188681785018
280,9508.0-1629.0,60.79181642816205,81.64759359269053
280,1936.0-2289.0,60.47863389621034,75.52443192784473
280,9204.0-4395.0,58.55479879013309,69.98384406307991
280,2526.0-1740.0,56.23929670863128,64.58695432340801
282,7081.0-3984.0,74.90918196770872,129.58134993904306
282,5578.0-4829.0,69.93935091692796,112.65975515583308
282,1472.0-148.0,70.90132871063395,106.06849652838945
282,5939.0-570.0,68.98093310723739,100.52642000640382
282,9508.0-1629.0,61.70093150240475,84.44073214586498
282,1936.0-2289.0,61.56512582333833,78.25346994292083
282,9204.0-4395.0,59.63843853762949,72.71401586959517
